1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
90.0,392.0,1941.0,1691.0,202.0,1484.0,1007.0,2173.0,2886.0,2005.0,630.0,3037.0,2430.0,670.0,309.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,387.0,1907.0,1681.0,201.0,1450.0,995.0,2124.0,2822.0,1994.0,614.0,3003.0,2411.0,668.0,305.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,375.0,1876.0,1661.0,197.0,1444.0,973.0,2121.0,2825.0,1980.0,607.0,2960.0,2402.0,667.0,302.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,376.0,1882.0,1660.0,199.0,1463.0,988.0,2152.0,2860.0,1992.0,606.0,2960.0,2397.0,671.0,302.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,392.0,1931.0,1680.0,203.0,1493.0,1017.0,2195.0,2921.0,2035.0,615.0,3007.0,2417.0,681.0,309.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,417.0,2004.0,1714.0,209.0,1540.0,1052.0,2256.0,3037.0,2105.0,632.0,3089.0,2454.0,699.0,320.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,467.0,2200.0,1811.0,226.0,1672.0,1162.0,2425.0,3281.0,2292.0,686.0,3320.0,2557.0,743.0,346.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,531.0,2401.0,1909.0,243.0,1783.0,1259.0,2568.0,3478.0,2405.0,734.0,3563.0,2645.0,771.0,367.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,567.0,2566.0,1995.0,258.0,1920.0,1380.0,2776.0,3734.0,2595.0,783.0,3769.0,2739.0,824.0,398.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,598.0,2753.0,2072.0,269.0,2046.0,1510.0,2958.0,3955.0,2789.0,829.0,3979.0,2869.0,872.0,414.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,609.0,2840.0,2129.0,274.0,2140.0,1619.0,3113.0,4128.0,2937.0,857.0,4073.0,2908.0,909.0,431.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,632.0,2877.0,2160.0,280.0,2236.0,1718.0,3273.0,4315.0,3069.0,871.0,4112.0,2935.0,942.0,451.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,649.0,2888.0,2177.0,289.0,2317.0,1773.0,3397.0,4487.0,3187.0,878.0,4181.0,2955.0,971.0,466.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0
