Technology,Cost
Li-ion battery,Mid
Electrolysis,Mid
Coal,Mid
Nuclear,Mid
Solar PV,Mid
Wind,Mid
UtilityPV,Mid
LandbasedWind,Mid
GasFiredWH,Mid
ElecHeatPumpWH,Mid
ElecHeatPump_SpaceHeat,Mid
GasFurnace_SpaceHeat,Mid
GasRange_Res,Mid
ElecInduction_Res,Mid
GasRange_Comm,Mid
ElecInduction_Comm,Mid
GasFurnace_SpaceHeatComm,Mid
ElecHeatPump_SpaceHeatComm,Mid
GasFiredWHComm,Mid
ElecHeatPumpWHComm,Mid
LPGHybridElecHeatPump_SpaceHeatComm,Mid
HybridElecHeatPump_SpaceHeatComm,Mid
HybridElecHeatPump_SpaceHeat,Mid
LPGHybridElecHeatPump_SpaceHeat,Mid
Net-zero CH4,Mid
Biomethane,Mid
Gasification,Mid
BTL,Mid
PTL,Mid
Long-duration storage,Mid
Underground gas storage,Mid
Peaker Plant,Mid
Natural Gas IC,Mid
Natural Gas CC,Mid
Natural Gas CT,Mid
Natural Gas ST,Mid
Natural Gas CC-CCS,Mid
Biopower,Mid
Solar Thermal,Mid
Geothermal,Mid
Hydropower,Mid
Pumped Storage,Mid
Diesel,Mid
Natural Gas,Mid
Biomass,Mid
Hydro,Mid
OffshoreWind,Mid
Res Solar PV,Mid
Comm Solar PV,Mid
Geothermal EGS,Mid
Pumped hydro storage,Mid
Multi-day storage,Mid
AC_GasFurnace,Mid
AC_ElecHeatPump_SpaceHeat,Mid
AC_GasFurnaceComm,Mid
AC_HeatPump_SpaceHeatComm,Mid
Rondo Heat Battery,Mid
Hydrogen-to-Heat,Mid
Electric Boiler,Mid
