NodeELEC,NodeGAS,DistELEC,DistGAS,ServiceName,ApplianceName,ApplianceCount,Lifetime,isHybrid,UpgradeCostLow,UpgradeCostHigh,AverageCharge,EOLCharge,AnnualLeak,EOLLoss
1,1,1,1,Res_WaterHeating,GasFiredWH,43711,13,0,0,0,0,0,0,0
2,2,2,2,Res_WaterHeating,GasFiredWH,332765,13,0,0,0,0,0,0,0
3,3,3,3,Res_WaterHeating,GasFiredWH,1206017,13,0,0,0,0,0,0,0
4,4,4,4,Res_WaterHeating,GasFiredWH,490614,13,0,0,0,0,0,0,0
5,5,5,5,Res_WaterHeating,GasFiredWH,91614,13,0,0,0,0,0,0,0
6,6,6,6,Res_WaterHeating,GasFiredWH,879378,13,0,0,0,0,0,0,0
7,7,7,7,Res_WaterHeating,GasFiredWH,635662,13,0,0,0,0,0,0,0
8,8,8,8,Res_WaterHeating,GasFiredWH,972668,13,0,0,0,0,0,0,0
9,9,9,9,Res_WaterHeating,GasFiredWH,1528794,13,0,0,0,0,0,0,0
10,10,10,10,Res_WaterHeating,GasFiredWH,1053512,13,0,0,0,0,0,0,0
11,11,11,11,Res_WaterHeating,GasFiredWH,346180,13,0,0,0,0,0,0,0
12,12,12,12,Res_WaterHeating,GasFiredWH,1270588,13,0,0,0,0,0,0,0
13,13,13,13,Res_WaterHeating,GasFiredWH,707528,13,0,0,0,0,0,0,0
14,14,14,14,Res_WaterHeating,GasFiredWH,267929,13,0,0,0,0,0,0,0
15,15,15,15,Res_WaterHeating,GasFiredWH,116935,13,0,0,0,0,0,0,0
16,16,16,16,Res_WaterHeating,GasFiredWH,108208,13,0,0,0,0,0,0,0
1,1,1,1,Res_WaterHeating,ElecHeatPumpWH,22523,15,0,853,853,2.4,2.1,0.01,1
2,2,2,2,Res_WaterHeating,ElecHeatPumpWH,39400,15,0,647,647,2.4,2.1,0.01,1
3,3,3,3,Res_WaterHeating,ElecHeatPumpWH,75831,15,0,750,750,2.4,2.1,0.01,1
4,4,4,4,Res_WaterHeating,ElecHeatPumpWH,17258,15,0,653,653,2.4,2.1,0.01,1
5,5,5,5,Res_WaterHeating,ElecHeatPumpWH,6931,15,0,683,683,2.4,2.1,0.01,1
6,6,6,6,Res_WaterHeating,ElecHeatPumpWH,74913,15,0,762,762,2.4,2.1,0.01,1
