Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Li-ion battery,Low,40,40,45,32,30,29,28,26,25,24,23,22,22,21,21,21,20,20,19,19,19,18,18,17,17,17,16,16,15,15,15
Li-ion battery,Mid,40,40,45,43,41,36,35,34,32,31,30,30,29,29,28,28,27,27,26,26,25,25,25,24,24,23,23,22,22,21,21
Li-ion battery,High,40,40,45,46,47,46,44,42,41,39,37,37,37,37,36,36,36,36,35,35,35,35,34,34,34,33,33,33,33,32,32
Electrolysis,Low,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Electrolysis,Mid,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Electrolysis,High,71,68,66,63,60,57,54,51,48,46,43,42,42,42,41,41,41,41,40,40,40,39,39,39,38,38,38,37,37,37,36
Coal,Low,74,74,74,74,74,73,72,71,70,69,69,68,67,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
Coal,Mid,74,74,74,74,74,73,73,72,72,72,71,71,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Coal,High,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Nuclear,Low,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Nuclear,Mid,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Nuclear,High,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Solar Thermal,Low,66,64,62,59,57,55,53,50,48,46,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43
Solar Thermal,Mid,66,65,64,63,62,61,60,59,58,58,57,57,57,57,57,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Solar Thermal,High,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
Solar PV,Low,23,21,20,19,18,17,16,16,15,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11
