NodeIn,NodeOut,MaxGas,Diameter,Distance,FrictionFactor,ExistingUnits,MaxNew,MaxCompression
11,1,500000,0.8382,223493,0.01,1,0,2
11,17,500000,0.8382,405851,0.01,1,0,2
16,11,500000,0.8382,112713,0.01,1,0,2
18,16,500000,0.8382,209185,0.01,1,0,2
11,12,500000,0.8382,134217,0.01,1,0,2
12,2,500000,0.8382,278921,0.01,1,0,2
2,3,500000,0.8382,382349,0.01,1,0,2
12,3,500000,0.8382,175335,0.01,1,0,2
3,4,500000,0.8382,93637,0.01,1,0,2
13,12,500000,0.8382,236191,0.01,1,0,2
13,4,500000,0.8382,109775,0.01,1,0,2
5,4,500000,0.8382,149199,0.01,1,0,2
6,5,500000,0.8382,137795,0.01,1,0,2
9,13,500000,0.8382,236755,0.01,1,0,2
6,9,500000,0.8382,48075,0.01,1,0,2
14,13,500000,0.8382,30852,0.01,1,0,2
9,14,500000,0.8382,205083,0.01,1,0,2
8,6,500000,0.8382,133680,0.01,1,0,2
10,8,500000,0.8382,41375,0.01,1,0,2
10,9,500000,0.8382,132244,0.01,1,0,2
10,7,500000,0.8382,40356,0.01,1,0,2
10,14,500000,0.8382,165913,0.01,1,0,2
14,19,500000,0.8382,234323,0.01,1,0,2
15,10,500000,0.8382,167772,0.01,1,0,2
20,15,500000,0.8382,185124,0.01,1,0,2
21,22,1,1,1,1,0,0,1
22,21,1,1,1,1,0,0,1
