GEN01,GEN02,GEN03,GEN04,GEN05,GEN06,GEN07,GEN08,GEN09,GEN10,GEN11,GEN12,GEN13,GEN14,GEN15,GEN16,GEN17,GEN18,GEN19,GEN20,GEN21,GEN22,GEN23,GEN24,GEN25,GEN26,GEN27,GEN28,GEN29,GEN30,GEN31,GEN32,GEN33,GEN34,GEN35,GEN36,GEN37,GEN38,GEN39,GEN40,GEN41,GEN42,GEN43,GEN44,GEN45,GEN46,GEN47,GEN48,GEN49,GEN50,GEN51,GEN52,GEN53,GEN54,GEN55,GEN56,GEN57,GEN58,GEN59,GEN60,GEN61,GEN62,GEN63,GEN64,GEN65,GEN66,GEN67,GEN68,GEN69,GEN70,GEN71,GEN72,GEN73,GEN74,GEN75,GEN76,GEN77,GEN78,GEN79,GEN80,GEN81,GEN82,GEN83,GEN84,GEN85,GEN86,GEN87,GEN88,GEN89,GEN90,GEN91,GEN92,GEN93,GEN94,GEN95,GEN96,GEN97,GEN98,GEN99,GEN100,GEN101,GEN102,GEN103,GEN104,GEN105,GEN106,GEN107,GEN108,GEN109,GEN110,GEN111,GEN112,GEN113,GEN114,GEN115,GEN116,GEN117,GEN118,GEN119,GEN120,GEN121,GEN122,GEN123,GEN124,GEN125,GEN126,GEN127,GEN128,GEN129,GEN130,GEN131,GEN132,GEN133,GEN134,GEN135,GEN136,GEN137,GEN138,GEN139,GEN140,GEN141,GEN142,GEN143,GEN144,GEN145,GEN146,GEN147,GEN148,GEN149,GEN150,GEN151,GEN152,GEN153,GEN154,GEN155,GEN156,GEN157,GEN158,GEN159,GEN160,GEN161,GEN162,GEN163,GEN164,GEN165,GEN166,GEN167,GEN168,GEN169,GEN170,GEN171,GEN172,GEN173,GEN174,GEN175,GEN176,GEN177,GEN178,GEN179,GEN180,GEN181,GEN182,GEN183,GEN184,GEN185,GEN186,GEN187,GEN188,GEN189,GEN190,GEN191,GEN192,GEN193,GEN194,GEN195,GEN196,GEN197,GEN198,GEN199,GEN200,GEN201,GEN202,GEN203,GEN204,GEN205,GEN206,GEN207,GEN208,GEN209,GEN210,GEN211,GEN212,GEN213,GEN214,GEN215,GEN216,GEN217,GEN218,GEN219,GEN220,GEN221,GEN222,GEN223,GEN224,GEN225,GEN226,GEN227,GEN228,GEN230,GEN231,GEN232,GEN234,GEN235,GEN237,GEN238,GEN239,GEN241
1,1,1,1,1,0,0,0,0,0.009,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.005,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.015,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.004,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.001,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.003,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.018,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.006,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.001,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.008,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.032,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.014,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.087,0.7,0.994,1,0.407,1,1,1,1,1,0,0,0,0,0.001,0.7,0.994,1,0.407,0.005,0,1,1,0,0.407,0.002,1,1,0,0.407,0.002,1
1,1,1,1,1,0,0,0,0,0.003,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.01,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.011,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.001,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.01,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.002,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.035,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.002,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.005,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.006,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.014,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.018,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0.112,0.7,0.994,1,0.3544,1,1,1,1,1,0,0,0,0,0,0.7,0.994,1,0.3544,0,0,1,1,0,0.3544,0.011,1,1,0,0.3544,0.011,1
1,1,1,1,1,0,0,0,0,0.008,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.025,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.001,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.018,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.013,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.044,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.001,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.006,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.094,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.002,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.011,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.005,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.012,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.015,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.136,0.7,0.994,1,0.3248,1,1,1,1,1,0,0,0,0,0.034,0.7,0.994,1,0.3248,0,0.003,1,1,0,0.3248,0.028,1,1,0,0.3248,0.028,1
1,1,1,1,1,0,0,0,0,0.008,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.015,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.006,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.033,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.032,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.086,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.005,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.024,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.181,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.011,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.014,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.001,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.01,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.017,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.168,0.7,0.994,1,0.3097,1,1,1,1,1,0,0,0,0,0.087,0.7,0.994,1,0.3097,0,0.007,1,1,0,0.3097,0.043,1,1,0,0.3097,0.043,1
1,1,1,1,1,0,0,0,0,0.004,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.009,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.005,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.031,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.04,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.097,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.01,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.032,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.202,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.023,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.017,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.003,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.013,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.018,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.18,0.7,0.994,1,0.3198,1,1,1,1,1,0,0,0,0,0.082,0.7,0.994,1,0.3198,0,0.012,1,1,0,0.3198,0.061,1,1,0,0.3198,0.061,1
1,1,1,1,1,0,0,0,0,0.005,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.009,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.003,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.02,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.063,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.145,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.019,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.041,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.241,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.032,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.069,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.017,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.01,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.036,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.165,0.7,0.994,1,0.3751,1,1,1,1,1,0,0,0,0,0.096,0.7,0.994,1,0.3751,0,0.022,1,1,0,0.3751,0.075,1,1,0,0.3751,0.075,1
1,1,1,1,1,0,0,0,0,0.006,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.006,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.005,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.015,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.094,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.209,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.04,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.071,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.32,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.062,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.163,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.035,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.005,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.044,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.156,0.7,0.994,1,0.4926,1,1,1,1,1,0,0,0,0,0.086,0.7,0.994,1,0.4926,0,0.03,1,1,0,0.4926,0.081,1,1,0,0.4926,0.081,1
1,1,1,1,1,0,0,0,0,0.011,0.7,0.994,1,0.3986,1,1,1,1,1,0.004,0.004,0.004,0.004,0.006,0.7,0.994,1,0.3986,1,1,1,1,1,0.022,0.022,0.022,0.022,0.01,0.7,0.994,1,0.3986,1,1,1,1,1,0.044,0.044,0.044,0.044,0.016,0.7,0.994,1,0.3986,1,1,1,1,1,0.087,0.087,0.087,0.087,0.113,0.7,0.994,1,0.3986,1,1,1,1,1,0.115,0.115,0.115,0.115,0.236,0.7,0.994,1,0.3986,1,1,1,1,1,0.113,0.113,0.113,0.113,0.044,0.7,0.994,1,0.3986,1,1,1,1,1,0.125,0.125,0.125,0.125,0.085,0.7,0.994,1,0.3986,1,1,1,1,1,0.113,0.113,0.113,0.113,0.368,0.7,0.994,1,0.3986,1,1,1,1,1,0.133,0.133,0.133,0.133,0.086,0.7,0.994,1,0.3986,1,1,1,1,1,0.015,0.015,0.015,0.015,0.208,0.7,0.994,1,0.3986,1,1,1,1,1,0.009,0.009,0.009,0.009,0.021,0.7,0.994,1,0.3986,1,1,1,1,1,0.068,0.068,0.068,0.068,0.005,0.7,0.994,1,0.3986,1,1,1,1,1,0.152,0.152,0.152,0.152,0.033,0.7,0.994,1,0.3986,1,1,1,1,1,0.179,0.179,0.179,0.179,0.125,0.7,0.994,1,0.3986,1,1,1,1,1,0.007,0.007,0.007,0.007,0.099,0.7,0.994,1,0.3986,0,0.025,1,1,0.007,0.3986,0.08,1,1,0.007,0.3986,0.08,1
1,1,1,1,1,0.159,0.159,0.159,0.159,0.013,0.7,0.994,1,0.3419,1,1,1,1,1,0.16,0.16,0.16,0.16,0.008,0.7,0.994,1,0.3419,1,1,1,1,1,0.226,0.226,0.226,0.226,0.014,0.7,0.994,1,0.3419,1,1,1,1,1,0.263,0.263,0.263,0.263,0.015,0.7,0.994,1,0.3419,1,1,1,1,1,0.277,0.277,0.277,0.277,0.081,0.7,0.994,1,0.3419,1,1,1,1,1,0.299,0.299,0.299,0.299,0.142,0.7,0.994,1,0.3419,1,1,1,1,1,0.342,0.342,0.342,0.342,0.023,0.7,0.994,1,0.3419,1,1,1,1,1,0.343,0.343,0.343,0.343,0.054,0.7,0.994,1,0.3419,1,1,1,1,1,0.329,0.329,0.329,0.329,0.24,0.7,0.994,1,0.3419,1,1,1,1,1,0.369,0.369,0.369,0.369,0.064,0.7,0.994,1,0.3419,1,1,1,1,1,0.246,0.246,0.246,0.246,0.201,0.7,0.994,1,0.3419,1,1,1,1,1,0.089,0.089,0.089,0.089,0.01,0.7,0.994,1,0.3419,1,1,1,1,1,0.284,0.284,0.284,0.284,0.002,0.7,0.994,1,0.3419,1,1,1,1,1,0.418,0.418,0.418,0.418,0.021,0.7,0.994,1,0.3419,1,1,1,1,1,0.408,0.408,0.408,0.408,0.057,0.7,0.994,1,0.3419,1,1,1,1,1,0.248,0.248,0.248,0.248,0.134,0.7,0.994,1,0.3419,0,0.014,1,1,0.248,0.3419,0.058,1,1,0.248,0.3419,0.058,1
1,1,1,1,1,0.398,0.398,0.398,0.398,0.008,0.7,0.994,1,0.346,1,1,1,1,1,0.29,0.29,0.29,0.29,0.006,0.7,0.994,1,0.346,1,1,1,1,1,0.438,0.438,0.438,0.438,0.008,0.7,0.994,1,0.346,1,1,1,1,1,0.469,0.469,0.469,0.469,0.009,0.7,0.994,1,0.346,1,1,1,1,1,0.442,0.442,0.442,0.442,0.018,0.7,0.994,1,0.346,1,1,1,1,1,0.466,0.466,0.466,0.466,0.039,0.7,0.994,1,0.346,1,1,1,1,1,0.517,0.517,0.517,0.517,0.004,0.7,0.994,1,0.346,1,1,1,1,1,0.53,0.53,0.53,0.53,0.008,0.7,0.994,1,0.346,1,1,1,1,1,0.512,0.512,0.512,0.512,0.087,0.7,0.994,1,0.346,1,1,1,1,1,0.546,0.546,0.546,0.546,0.021,0.7,0.994,1,0.346,1,1,1,1,1,0.453,0.453,0.453,0.453,0.058,0.7,0.994,1,0.346,1,1,1,1,1,0.221,0.221,0.221,0.221,0.003,0.7,0.994,1,0.346,1,1,1,1,1,0.48,0.48,0.48,0.48,0,0.7,0.994,1,0.346,1,1,1,1,1,0.59,0.59,0.59,0.59,0.027,0.7,0.994,1,0.346,1,1,1,1,1,0.561,0.561,0.561,0.561,0.05,0.7,0.994,1,0.346,1,1,1,1,1,0.444,0.444,0.444,0.444,0.282,0.7,0.994,1,0.346,0,0.002,1,1,0.444,0.346,0.011,1,1,0.444,0.346,0.011,1
