indx,Date,Cost
0,2019-01-01,5.1941574542824664
1,2019-01-02,5.1941574542824664
2,2019-01-03,4.347110238661019
3,2019-01-04,4.474966422151048
4,2019-01-05,4.443002376278541
5,2019-01-06,4.411038330406034
6,2019-01-07,4.379074284533526
7,2019-01-08,4.618804628577332
8,2019-01-09,4.666750697386093
9,2019-01-10,4.714696766194854
10,2019-01-11,4.714696766194854
11,2019-01-12,4.9331177463236555
12,2019-01-13,5.151538726452457
13,2019-01-14,5.369959706581257
14,2019-01-15,5.657636119433826
15,2019-01-16,5.7215642111788405
16,2019-01-17,5.7215642111788405
17,2019-01-18,5.481833867135034
18,2019-01-19,5.481833867135034
19,2019-01-20,5.481833867135034
20,2019-01-21,5.481833867135034
21,2019-01-22,5.481833867135034
22,2019-01-23,5.002373179047422
23,2019-01-24,5.002373179047422
24,2019-01-25,4.906481041429899
25,2019-01-26,4.895826359472396
26,2019-01-27,4.885171677514895
27,2019-01-28,4.874516995557392
28,2019-01-29,4.6987147432586
29,2019-01-30,4.794606880876123
30,2019-01-31,4.506930468023556
31,2019-02-01,4.77579296615793
32,2019-02-02,4.699144437071444
33,2019-02-03,4.622495907984959
34,2019-02-04,4.545847378898474
35,2019-02-05,4.49278301260783
36,2019-02-06,4.563535500995355
37,2019-02-07,4.63428798938288
38,2019-02-08,4.705040477770405
39,2019-02-09,4.764000884760009
40,2019-02-10,4.822961291749612
41,2019-02-11,4.881921698739216
42,2019-02-12,4.7934810882548105
43,2019-02-13,4.6165998672859985
44,2019-02-14,4.6165998672859985
45,2019-02-15,4.581223623092236
46,2019-02-16,4.625443928334438
47,2019-02-17,4.669664233576642
48,2019-02-18,4.713884538818845
49,2019-02-19,4.758104844061048
50,2019-02-20,4.758104844061048
51,2019-02-21,4.828857332448573
52,2019-02-22,4.8465454545454545
53,2019-02-23,4.905505861535058
54,2019-02-24,4.964466268524663
55,2019-02-25,5.0234266755142665
56,2019-02-26,4.8465454545454545
57,2019-02-27,5.111867285998673
58,2019-02-28,5.111867285998673
59,2019-03-01,4.874556039173014
60,2019-03-02,5.414475516866159
61,2019-03-03,5.954394994559303
62,2019-03-04,6.494314472252448
63,2019-03-05,4.859275299238303
64,2019-03-06,4.859275299238303
65,2019-03-07,4.4314145810663765
66,2019-03-08,4.4314145810663765
67,2019-03-09,4.411040261153428
68,2019-03-10,4.390665941240478
69,2019-03-11,4.37029162132753
70,2019-03-12,4.3244494015233945
71,2019-03-13,4.385572361262241
72,2019-03-14,4.507818280739935
73,2019-03-15,4.507818280739935
74,2019-03-16,4.482350380848748
75,2019-03-17,4.456882480957562
76,2019-03-18,4.4314145810663765
77,2019-03-19,4.4619760609357995
78,2019-03-20,4.37029162132753
79,2019-03-21,4.37029162132753
80,2019-03-22,4.202203482045702
81,2019-03-23,4.1869227421109905
82,2019-03-24,4.171642002176278
83,2019-03-25,4.156361262241567
84,2019-03-26,4.1869227421109905
85,2019-03-27,4.110519042437431
86,2019-03-28,4.110519042437431
87,2019-03-29,4.171642002176278
88,2019-03-30,4.171642002176278
89,2019-03-31,4.171642002176278
90,2019-04-01,3.386900334110824
91,2019-04-02,3.424119019101053
92,2019-04-03,3.3993065624409007
93,2019-04-04,3.30005673580029
94,2019-04-05,3.2504318224799853
95,2019-04-06,3.2917859169135726
96,2019-04-07,3.3331400113471608
97,2019-04-08,3.374494105780748
98,2019-04-09,3.3620878774506715
99,2019-04-10,3.374494105780748
100,2019-04-11,3.374494105780748
101,2019-04-12,3.4117127907709768
102,2019-04-13,3.4117127907709768
103,2019-04-14,3.4117127907709768
104,2019-04-15,3.4117127907709768
105,2019-04-16,3.30005673580029
106,2019-04-17,3.163588224169451
107,2019-04-18,3.1511819958393747
108,2019-04-19,3.1728928954170086
109,2019-04-20,3.194603794994642
110,2019-04-21,3.216314694572275
111,2019-04-22,3.2380255941499088
112,2019-04-23,3.138775767509298
113,2019-04-24,3.138775767509298
114,2019-04-25,3.1511819958393747
115,2019-04-26,3.20080690915968
