Node_ELEC,Node_GAS,Storage_ID,Prime Mover,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Duration [hours],Charge efficiency [%],Discharge efficiency [%],Loss efficiency [%],Economic Lifetime [years],Lifetime [years],Install Year,Forced Retirement
1,1,BAT1,Li-ion battery,0,10,100,500,4,0.92,0.92,1.39E-05,15,15,2050,2050
1,1,Redwood Coast Airport Microgrid,Li-ion battery,1,2.2,0,0,4,0.92,0.92,1.39E-05,15,15,2050,2050
2,2,BAT2,Li-ion battery,0,10,100,500,4,0.92,0.92,1.39E-05,15,15,2050,2050
2,2,Pacific Union College BESS,Li-ion battery,1,1,0,0,2,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,BAT3,Li-ion battery,0,10,100,500,4,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,Gilead Foster City Solar Project,Li-ion battery,1,0.5,0,0,1.8,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,Silicon Valley Clean Water,Li-ion battery,1,1,0,0,2,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,D'Arrigo Brothers - Phase 4,Li-ion battery,1,0.5,0,0,1.6,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,UC Santa Cruz Solar,Li-ion battery,1,1,0,0,1,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,Elkhorn Battery Energy Storage System,Li-ion battery,1,182.5,0,0,4,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,Dynegy Moss Landing Power Plant Hybrid,Li-ion battery,1,350,0,0,4,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,Dynegy Moss Landing Power Plant Hybrid,Li-ion battery,1,100,0,0,4,0.92,0.92,1.39E-05,15,15,2050,2050
3,3,Dynegy Moss Landing Power Plant Hybrid,Li-ion battery,1,300,0,0,4,0.92,0.92,1.39E-05,15,15,2050,2050
4,4,BAT4,Li-ion battery,0,10,100,500,4,0.92,0.92,1.39E-05,15,15,2050,2050
4,4,West Valley Mission CCD Solar Project,Li-ion battery,1,0.9,0,0,2.333333333,0.92,0.92,1.39E-05,15,15,2050,2050
4,4,Google Moffett Park Solar Project,Li-ion battery,1,0.6,0,0,1.833333333,0.92,0.92,1.39E-05,15,15,2050,2050
4,4,Gavilan Community College Solar Project,Li-ion battery,1,0.5,0,0,1,0.92,0.92,1.39E-05,15,15,2050,2050
5,5,BAT5,Li-ion battery,3,10,100,500,4,0.92,0.92,1.39E-05,15,15,2050,2050
6,6,BAT6,Li-ion battery,0,10,100,500,4,0.92,0.92,1.39E-05,15,15,2050,2050
