,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,10152012.695381666,1515707.9503747663,54391.100443696785,761288.0782191448,2700.0
1,0.0,10174771.776189243,1509738.0324438803,53917.35507547589,758329.0228926793,2773.860511846927
2,0.0,10190676.546607604,1503764.1934199848,53668.664193382785,755266.5113214976,2227.032619643959
3,0.0,10199128.12376113,1497959.293864897,53707.30430405991,752585.9840695965,2495.0857291906223
4,0.0,10203583.497518402,1492711.202077552,53310.905729208585,749694.0021960655,2648.5973747750527
5,0.0,10206987.180149138,1487272.7145818595,52955.43025582113,746886.7643838902,2722.09158342657
6,0.0,10210415.797505658,1481285.7393176863,52380.36270139679,744001.3630800407,2983.585806719878
7,0.0,10214414.371430436,1476056.355217864,52130.50690654725,740995.690583474,2559.1246013378577
8,0.0,10218626.086543262,1470596.9349160865,51922.32658897514,738503.2507582303,3223.492554590355
9,0.0,10223076.041129174,1465265.2510667546,51688.86822050549,735425.4972160743,2903.6111973163343
10,0.0,10227077.394185731,1459781.6932605612,51354.92645796843,732709.1556071775,2930.4514273348977
11,0.0,10229610.557332553,1454434.5694543186,51095.26305839615,729163.5068814673,3141.6028707502164
12,0.0,10231712.044244867,1449400.5243476327,50865.40861229387,726359.1650460623,3138.7244519358787
13,0.0,10232737.645100556,1444445.383632107,50539.570716670096,723762.8088652489,3005.140662107184
14,0.0,10231753.247958018,1439466.982691251,50255.00513572071,721173.2420558202,2708.2276985736326
15,0.0,10229452.569984859,1434188.779272435,50026.820301991145,718456.3323826034,2521.390032595513
16,0.0,10225358.361497879,1429336.3280718669,49856.894306803995,715609.4679468803,3080.2434599389658
17,0.0,10220244.747740785,1424130.643690075,49567.00978558195,712908.2914024837,2650.9728372268473
18,0.0,10215426.404342003,1419353.7326922056,49359.04263428675,710244.739429459,2986.091793646275
19,0.0,10207141.930706924,1414989.2895207552,49147.33391340876,707560.2176400832,3314.7894162465886
20,0.0,10198555.04445501,1410282.321167969,48907.14821696213,704967.9635561543,2831.6618482108456
21,0.0,10188148.14609845,1405745.8976115882,48600.72986365509,702310.4473435649,2027.0236947404223
22,0.0,10175030.954863576,1400611.8675468683,48360.94688837215,699504.862897627,2160.116000911198
23,0.0,10161548.167109964,1396230.6766050344,47990.48044163546,696703.0360701437,2661.8105592040138
24,0.0,10147275.880163707,1391670.8434034265,47749.6676783899,693947.9038040722,2726.364736537168
25,0.0,10130458.903652059,1387250.9104928116,47511.581988534,691410.697555683,2847.804426466225
26,0.0,10113587.926174108,1383130.0085254633,47262.83562090768,688872.3351402335,2700.0
27,0.0,10095391.059059652,1378954.1252048977,46942.3811515388,686447.607410107,2917.3927369206167
28,0.0,10074867.580675283,1374697.842234071,46783.01656435452,683607.1386821555,3300.0
29,0.0,10054269.085166568,1370948.7307801987,46556.56613092989,680925.4067009978,3185.705302507875
30,0.0,10035105.551516887,1367090.1024614747,46267.784901202365,678266.7984031608,3149.6289863003985
31,0.0,10014553.10736188,1362947.185142662,45910.36346632667,675858.431011838,2758.401299285518
32,0.0,9993810.3885264,1358911.4071192131,45662.9427608535,673478.3071400813,2978.2160751434917
33,0.0,9970597.204788938,1354822.1679524996,45405.99048492612,671161.9690871492,3898.392242816762
34,0.0,9948362.930052947,1350812.465033575,45237.037463654924,668790.0418342594,4227.164519857985
35,0.0,9925366.869422313,1346855.5020785548,45070.648130172405,666494.9311095935,4142.341911636406
36,0.0,9901638.641970448,1342769.670615335,44798.61841208215,664018.565548921,4331.143513742111
37,0.0,9877472.591238022,1338450.2735853589,44362.950339179144,661292.2222061473,4500.0
38,0.0,9851860.108422544,1334152.6032534807,44152.06952274628,658896.4126412527,4315.1546074245925
39,0.0,9826755.550148847,1330380.7834020336,43919.3857363177,656611.8337666425,3334.649298332217
40,0.0,9801624.120636526,1326111.341926209,43742.38370008726,654097.9838761931,3946.3356721287964
41,0.0,9776805.329711013,1322007.549754139,43547.31415421023,651709.934619487,3752.2208647256502
42,0.0,9752445.85092721,1317876.055033164,43377.92123999578,649111.8578135346,3715.121650032929
43,0.0,9726903.267465137,1313929.3675582989,43229.006777049275,646741.0032751582,3847.384210630473
44,0.0,9701601.449720781,1310116.1308730238,43015.6313232193,644369.0988989247,3980.127029129311
45,0.0,9676712.89802844,1305722.3990355565,42800.39642772501,642179.3484947192,3687.9473364772457
46,0.0,9651365.03280478,1301356.6270616252,42681.79885023705,640052.8428498368,2848.2191924541467
47,0.0,9623852.67115709,1297345.9659002072,42490.273962523985,637724.4327663005,2946.495271426756
48,0.0,9596057.893756254,1293515.8905490013,42286.5958862836,635490.1848137169,3309.672834439788
49,0.0,9570327.216137074,1289246.3078951205,42106.54815512773,633208.3119342008,4348.784551604251
50,0.0,9542423.200451102,1285099.5842967671,41964.53063921601,630889.5334700127,4960.044541795509
51,0.0,9513348.236859344,1281191.4585526348,41779.25368680714,628565.3404712962,4583.296382829137
52,0.0,9484672.521420006,1276879.4467184695,41553.210181895774,626159.3324632671,4295.227440307465
53,0.0,9457605.40025148,1272291.192839264,41446.40228964535,623860.473676401,4373.891402738969
54,0.0,9428318.23535417,1267976.624093442,41263.181654821514,621488.7305630188,4291.070180070968
55,0.0,9398112.993815584,1263388.2100772634,41091.27054151379,619147.7863781289,3900.40906907626
56,0.0,9368806.401973391,1258723.4399834396,40977.71507290653,616848.996764534,3724.139875336885
57,0.0,9338356.295256613,1254218.4039773718,40797.45105527004,614932.0450971954,3671.964806047848
58,0.0,9307842.60503153,1249972.220553397,40581.87333979846,612759.7845565632,3715.124571407722
59,0.0,9284438.689806132,1245648.971851111,40413.271858238186,610631.9087784577,2783.7221429141346
60,0.0,9280018.819644853,1241157.3004626033,40254.54351801262,608386.9770970686,2655.4083903022015
61,0.0,9249491.392286131,1236680.9472639484,40172.632398239206,606055.441548949,3149.794264609601
62,0.0,9216531.947377346,1232147.377371305,40159.489649299256,603848.1031791227,3698.7026117122114
63,0.0,9184285.855142323,1227465.7038596796,40048.56441036851,601458.3337713017,3771.8253897105556
64,0.0,9150434.706387317,1223331.0796628736,39953.35241044238,599601.8707770779,4232.640849132167
65,0.0,9117138.885372369,1218617.9081057527,39801.024419707515,597563.6524517861,3682.604991788903
