NodeELEC,NodeGAS,StorageID,PrimeMover,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,ChargeRate,DischargeRate,ChargeETA,DischargeETA,LossETA,EconomicLifetime,Lifetime,InstallYear,ForcedRetirement
1,1,RHB1,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
2,2,RHB2,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
3,3,RHB3,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
4,4,RHB4,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
5,5,RHB5,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
6,6,RHB6,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
7,7,RHB7,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
8,8,RHB8,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
9,9,RHB9,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
10,10,RHB10,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
11,11,RHB11,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
12,12,RHB12,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
13,13,RHB13,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
14,14,RHB14,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
15,15,RHB15,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
16,16,RHB16,Rondo Heat Battery,0,300,100,500,70,20,0.99,0.99,8.33E-02,30,30,2050,2050
1,1,H2H1,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
2,2,H2H2,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
3,3,H2H3,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
4,4,H2H4,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
5,5,H2H5,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
6,6,H2H6,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
7,7,H2H7,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
8,8,H2H8,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
9,9,H2H9,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
10,10,H2H10,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
11,11,H2H11,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
12,12,H2H12,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
13,13,H2H13,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
14,14,H2H14,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
15,15,H2H15,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
16,16,H2H16,Hydrogen-to-Heat,0,100,300,1500,1,1,0.65,0.9,1.00E-05,30,30,2050,2050
