Node_ELEC,Node_GAS,DistID_ELEC,DistID_GAS,Service Name,Converter Name,Converter Count [no.],Lifetime [years],is_hybrid [bin.],Upgrade Cost (Low) [$],Upgrade Cost (High) [$],VMT [mi/yr/vehicle],Carbon Intensity [kgCO2/mile]
1,1,1,1,Transp_PassMiles,Veh_Road_LDA_Gasoline,123746,14,0,0,0,18836,0.257
2,2,2,2,Transp_PassMiles,Veh_Road_LDA_Gasoline,658543,14,0,0,0,18836,0.257
3,3,3,3,Transp_PassMiles,Veh_Road_LDA_Gasoline,2265290,14,0,0,0,18836,0.257
4,4,4,4,Transp_PassMiles,Veh_Road_LDA_Gasoline,1319224,14,0,0,0,18836,0.257
5,5,5,5,Transp_PassMiles,Veh_Road_LDA_Gasoline,274861,14,0,0,0,18836,0.257
6,6,6,6,Transp_PassMiles,Veh_Road_LDA_Gasoline,1855901,14,0,0,0,18836,0.257
7,7,7,7,Transp_PassMiles,Veh_Road_LDA_Gasoline,1455987,14,0,0,0,18836,0.257
8,8,8,8,Transp_PassMiles,Veh_Road_LDA_Gasoline,2931904,14,0,0,0,18836,0.257
9,9,9,9,Transp_PassMiles,Veh_Road_LDA_Gasoline,3592561,14,0,0,0,18836,0.257
10,10,10,10,Transp_PassMiles,Veh_Road_LDA_Gasoline,2878952,14,0,0,0,18836,0.257
11,11,11,11,Transp_PassMiles,Veh_Road_LDA_Gasoline,741393,14,0,0,0,18836,0.257
12,12,12,12,Transp_PassMiles,Veh_Road_LDA_Gasoline,3306216,14,0,0,0,18836,0.257
13,13,13,13,Transp_PassMiles,Veh_Road_LDA_Gasoline,1511815,14,0,0,0,18836,0.257
14,14,14,14,Transp_PassMiles,Veh_Road_LDA_Gasoline,599308,14,0,0,0,18836,0.257
15,15,15,15,Transp_PassMiles,Veh_Road_LDA_Gasoline,489475,14,0,0,0,18836,0.257
16,16,16,16,Transp_PassMiles,Veh_Road_LDA_Gasoline,385113,14,0,0,0,18836,0.257
1,1,1,1,Transp_PassMiles,Veh_Road_LDA_Diesel,10406,14,0,0,0,18836,0.206
2,2,2,2,Transp_PassMiles,Veh_Road_LDA_Diesel,31768,14,0,0,0,18836,0.206
3,3,3,3,Transp_PassMiles,Veh_Road_LDA_Diesel,38362,14,0,0,0,18836,0.206
4,4,4,4,Transp_PassMiles,Veh_Road_LDA_Diesel,26576,14,0,0,0,18836,0.206
5,5,5,5,Transp_PassMiles,Veh_Road_LDA_Diesel,11123,14,0,0,0,18836,0.206
6,6,6,6,Transp_PassMiles,Veh_Road_LDA_Diesel,31574,14,0,0,0,18836,0.206
7,7,7,7,Transp_PassMiles,Veh_Road_LDA_Diesel,23992,14,0,0,0,18836,0.206
8,8,8,8,Transp_PassMiles,Veh_Road_LDA_Diesel,31809,14,0,0,0,18836,0.206
9,9,9,9,Transp_PassMiles,Veh_Road_LDA_Diesel,45016,14,0,0,0,18836,0.206
10,10,10,10,Transp_PassMiles,Veh_Road_LDA_Diesel,70603,14,0,0,0,18836,0.206
11,11,11,11,Transp_PassMiles,Veh_Road_LDA_Diesel,47315,14,0,0,0,18836,0.206
12,12,12,12,Transp_PassMiles,Veh_Road_LDA_Diesel,106882,14,0,0,0,18836,0.206
13,13,13,13,Transp_PassMiles,Veh_Road_LDA_Diesel,47014,14,0,0,0,18836,0.206
14,14,14,14,Transp_PassMiles,Veh_Road_LDA_Diesel,18745,14,0,0,0,18836,0.206
15,15,15,15,Transp_PassMiles,Veh_Road_LDA_Diesel,10061,14,0,0,0,18836,0.206
16,16,16,16,Transp_PassMiles,Veh_Road_LDA_Diesel,28056,14,0,0,0,18836,0.206
1,1,1,1,Transp_PassMiles,Veh_Road_LDA_HybridElec,8310,14,0,200,200,18836,0.134
2,2,2,2,Transp_PassMiles,Veh_Road_LDA_HybridElec,54544,14,0,200,200,18836,0.134
3,3,3,3,Transp_PassMiles,Veh_Road_LDA_HybridElec,235027,14,0,200,200,18836,0.134
4,4,4,4,Transp_PassMiles,Veh_Road_LDA_HybridElec,127504,14,0,200,200,18836,0.134
5,5,5,5,Transp_PassMiles,Veh_Road_LDA_HybridElec,16672,14,0,200,200,18836,0.134
6,6,6,6,Transp_PassMiles,Veh_Road_LDA_HybridElec,154557,14,0,200,200,18836,0.134
7,7,7,7,Transp_PassMiles,Veh_Road_LDA_HybridElec,105559,14,0,200,200,18836,0.134
8,8,8,8,Transp_PassMiles,Veh_Road_LDA_HybridElec,173436,14,0,200,200,18836,0.134
9,9,9,9,Transp_PassMiles,Veh_Road_LDA_HybridElec,289900,14,0,200,200,18836,0.134
10,10,10,10,Transp_PassMiles,Veh_Road_LDA_HybridElec,159882,14,0,200,200,18836,0.134
