Node,ResPop,ComPop
36067,148911,800
36071,72639,800
36017,11138,800
25001,92010,800
25013,101937,800
34011,36078,800
34041,22034,800
34005,125182,800
34023,252301,800
42045,140436,800
42049,94431,800
42059,8959,800
25015,40436,800
36053,16707,800
36077,13801,800
36051,13075,800
42071,109685,800
42043,63438,800
42067,6053,800
42027,38741,800
42035,9685,800
42063,23971,800
42099,10896,800
9110,195642,800
42051,32688,800
42055,38741,800
44007,169976,800
36025,12349,800
36061,476514,800
36065,65133,800
36115,12107,800
36009,20097,800
25025,207264,800
25005,138015,800
34009,67797,800
34015,86683,800
34003,300242,800
34019,24213,800
36045,23002,800
36019,14528,800
36031,11864,800
34027,137288,800
36091,59080,800
42031,14044,800
42061,10654,800
25017,379904,800
25027,189831,800
34033,15739,800
34021,113559,800
36013,44794,800
42133,96610,800
42095,63438,800
42127,17191,800
9170,195642,800
42029,95400,800
36047,816708,800
36043,12591,800
34035,107264,800
42091,178935,800
42013,27361,800
42033,19613,800
42113,3148,800
9180,71429,800
42111,20581,800
42101,497821,800
36111,42131,800
36081,666102,800
25011,20097,800
42125,63196,800
34001,92494,800
9130,48426,800
36103,258596,800
42017,135593,800
36063,78208,800
36119,214528,800
36105,21308,800
25007,7748,800
34031,149153,800
42097,25182,800
36113,17433,800
36075,24455,800
44005,22034,800
42023,2663,800
42103,22760,800
36059,285472,800
25009,180630,800
34013,247458,800
42089,44552,800
34007,159564,800
42129,111865,800
9190,37288,800
9140,0,800
9120,198547,800
36079,23971,800
36029,377967,800
36001,96126,800
25019,7022,800
42003,487652,800
42005,21065,800
42119,11380,800
42077,80145,800
42037,14528,800
36023,8717,800
36041,4600,800
36097,4116,800
36123,7506,800
9160,54237,800
36085,161501,800
36033,13801,800
42115,13559,800
36073,10896,800
36005,304601,800
36055,260533,800
36057,11622,800
34029,223487,800
34025,217918,800
34017,202664,800
34039,173850,800
36087,90315,800
36003,15496,800
42073,24213,800
42009,12833,800
36021,14286,800
42085,34140,800
42083,11622,800
42015,14286,800
42123,12349,800
44001,10654,800
36069,28087,800
36083,39467,800
36093,49395,800
36035,13075,800
36007,55448,800
36107,12107,800
36027,58596,800
42117,9927,800
44003,39952,800
36101,23971,800
25023,100484,800
42105,7022,800
42011,80387,800
42087,11622,800
36109,24939,800
42053,6295,800
42093,3390,800
42107,39952,800
36121,10170,800
42065,15254,800
42047,10654,800
42069,58838,800
42041,54479,800
42007,55206,800
36015,29782,800
36117,21792,800
36011,18644,800
9150,30751,800
36095,7506,800
36099,9685,800
36037,13317,800
42057,2421,800
42039,25666,800
36039,12349,800
42079,71429,800
42081,29540,800
42075,29298,800
42019,54722,800
42021,32203,800
34037,33656,800
42121,19370,800
44009,30024,800
25021,161501,800
36089,20823,800
42109,10654,800
42001,23729,800
25003,31235,800
42025,18402,800
42131,7264,800
36049,5811,800
