NodeIn,NodeOut,MaxPower,RatedPower,Reactance,ExistingUnits,MaxNew,Distance
09110,09130,888.2825,888.2825,0.466,1,0,37200.0
09110,09140,1454.2309,1454.2309,0.466,1,0,56643.0
09110,09150,2608.5057,2608.5057,0.466,1,0,47161.0
09110,09160,50.5259,50.5259,0.466,1,0,55470.0
09110,09170,716.4533,716.4533,0.466,1,0,52058.0
09110,09180,1795.6936,1795.6936,0.466,1,0,47842.0
09110,25013,2664.2442,2664.2442,0.466,1,0,43006.0
09120,09140,442.0,442.0,0.466,1,0,28101.0
09120,09170,1582.5181,1582.5181,0.466,1,0,35162.0
09120,09190,1896.8482,1896.8482,0.466,1,0,19165.0
09130,09170,1938.334,1938.334,0.466,1,0,27114.0
09130,09180,1885.925,1885.925,0.466,1,0,36465.0
09140,09160,246.2574,246.2574,0.466,1,0,33553.0
09140,09170,532.9812,532.9812,0.466,1,0,25224.0
09140,09190,1280.1718,1280.1718,0.466,1,0,31586.0
09150,09180,37.5539,37.5539,0.466,1,0,29154.0
09150,25027,1429.0,1429.0,0.466,1,0,66494.0
09150,44007,1106.3115,1106.3115,0.466,1,0,35662.0
09160,09190,32.0,32.0,0.466,1,0,51176.0
09160,36027,43.2458,43.2458,0.466,1,0,42823.0
09180,44009,59.7562,59.7562,0.466,1,0,40861.0
09190,36027,1195.0,1195.0,0.466,1,0,53038.0
09190,36079,6.9918,6.9918,0.466,1,0,29572.0
09190,36103,328.6717,328.6717,0.466,1,0,66298.0
25001,25007,19.042,19.042,0.466,1,0,70155.0
25001,25023,11.085,11.085,0.466,1,0,75708.0
25003,25011,1518.3303,1518.3303,0.466,1,0,54138.0
25003,25013,80.9563,80.9563,0.466,1,0,53181.0
25003,25015,98.727,98.727,0.466,1,0,40058.0
25003,25027,417.0,417.0,0.466,1,0,102131.0
25003,36083,2038.5883,2038.5883,0.466,1,0,42489.0
25005,25021,238.5868,238.5868,0.466,1,0,41083.0
25005,25023,50.886,50.886,0.466,1,0,32805.0
25005,25027,420.0613,420.0613,0.466,1,0,91112.0
25005,44001,10.555,10.555,0.466,1,0,11223.0
25005,44005,69.6562,69.6562,0.466,1,0,25062.0
25005,44007,365.9544,365.9544,0.466,1,0,33523.0
25007,25019,8.189,8.189,0.466,1,0,50809.0
25009,25017,1787.2245,1787.2245,0.466,1,0,37815.0
25009,25025,24.6601,24.6601,0.466,1,0,36510.0
25011,25013,1430.0,1430.0,0.466,1,0,38965.0
25011,25015,205.8343,205.8343,0.466,1,0,20772.0
25011,25027,157.9481,157.9481,0.466,1,0,52433.0
25013,25015,245.4984,245.4984,0.466,1,0,23050.0
25013,25027,1355.3005,1355.3005,0.466,1,0,59292.0
25015,25027,43.3538,43.3538,0.466,1,0,62138.0
25017,25021,266.652,266.652,0.466,1,0,33060.0
25017,25025,740.0329,740.0329,0.466,1,0,22204.0
25017,25027,4089.0312,4089.0312,0.466,1,0,55692.0
25021,25023,707.7922,707.7922,0.466,1,0,35289.0
25021,25025,660.4772,660.4772,0.466,1,0,23436.0
25021,25027,2477.9142,2477.9142,0.466,1,0,66336.0
25021,44007,215.8009,215.8009,0.466,1,0,43916.0
25023,25027,829.8327,829.8327,0.466,1,0,100744.0
25027,44007,1462.1019,1462.1019,0.466,1,0,64136.0
34001,34007,650.0,650.0,0.466,1,0,41734.0
34001,34009,273.6976,273.6976,0.466,1,0,43852.0
34001,34011,764.3139,764.3139,0.466,1,0,40920.0
34001,34015,12.7208,12.7208,0.466,1,0,44976.0
34001,34029,554.3139,554.3139,0.466,1,0,51312.0
34003,34013,374.5594,374.5594,0.466,1,0,25329.0
34003,34017,1127.5033,1127.5033,0.466,1,0,23755.0
34003,34031,577.0517,577.0517,0.466,1,0,24638.0
34003,36087,1263.8473,1263.8473,0.466,1,0,24054.0
34005,34007,2463.7415,2463.7415,0.466,1,0,27225.0
34005,34029,467.5273,467.5273,0.466,1,0,36551.0
34005,42017,603.6201,603.6201,0.466,1,0,63936.0
34005,42101,4.6606,4.6606,0.466,1,0,41885.0
34007,34011,1074.3179,1074.3179,0.466,1,0,49059.0
34007,34015,640.7162,640.7162,0.466,1,0,17379.0
34007,34021,2656.0,2656.0,0.466,1,0,59345.0
34007,34033,1835.5784,1835.5784,0.466,1,0,36281.0
34007,42101,760.0087,760.0087,0.466,1,0,25719.0
34009,34011,366.8254,366.8254,0.466,1,0,39183.0
34011,34015,165.9573,165.9573,0.466,1,0,36543.0
34011,34033,1655.8347,1655.8347,0.466,1,0,29328.0
34013,34017,780.5437,780.5437,0.466,1,0,16966.0
34013,34023,369.08,369.08,0.466,1,0,42387.0
34013,34027,1605.4117,1605.4117,0.466,1,0,27739.0
34013,34031,1458.1715,1458.1715,0.466,1,0,24585.0
34013,34035,335.8729,335.8729,0.466,1,0,40389.0
34013,34037,2650.0,2650.0,0.466,1,0,52807.0
34013,34039,970.6991,970.6991,0.466,1,0,14374.0
34015,34033,438.1941,438.1941,0.466,1,0,18903.0
34015,42045,448.651,448.651,0.466,1,0,32634.0
34017,34039,980.3322,980.3322,0.466,1,0,18870.0
34017,36047,1612.0,1612.0,0.466,1,0,13957.0
34017,36061,684.0,684.0,0.466,1,0,11910.0
34019,34021,181.3231,181.3231,0.466,1,0,36901.0
34019,34027,1024.6216,1024.6216,0.466,1,0,44610.0
34019,34035,279.7545,279.7545,0.466,1,0,24265.0
34019,34041,713.4009,713.4009,0.466,1,0,31344.0
34019,42017,1127.5913,1127.5913,0.466,1,0,31851.0
34019,42095,117.354,117.354,0.466,1,0,46148.0
34021,34023,2847.6584,2847.6584,0.466,1,0,29051.0
34021,34025,543.8191,543.8191,0.466,1,0,41874.0
34021,34035,1.3911,1.3911,0.466,1,0,32045.0
34021,42017,424.0471,424.0471,0.466,1,0,38150.0
34023,34025,1911.0382,1911.0382,0.466,1,0,24632.0
34023,34035,4842.1731,4842.1731,0.466,1,0,24220.0
