NodeELEC,NodeGAS,DistELEC,DistGAS,ServiceName,ApplianceName,ApplianceCount,Lifetime,isHybrid,UpgradeCostLow,UpgradeCostHigh,AverageCharge,EOLCharge,AnnualLeak,EOLLoss
36067,36067,36067,36067,hot_water,hot_water_natural_gas,148911,13,0,0,0,0,0,0,0
36067,36067,36067,36067,hot_water,hot_water_electricity,44552,15,0,0,0,0,0,0,0
36067,36067,36067,36067,hvac,hvac_natural_gas,145521,15,0,0,0,0,0,0,0
36067,36067,36067,36067,hvac,hvac_heat_pump,40678,15,0,0,0,0,0,0,0
36067,36067,36067,36067,range_oven,range_oven_natural_gas,97821,21,0,0,0,0,0,0,0
36067,36067,36067,36067,range_oven,range_oven_electricity,74334,17,0,0,0,0,0,0,0
36067,36067,36067,36067,hot_water_com,hot_water_com_natural_gas,1162,13,0,0,0,0,0,0,0
36067,36067,36067,36067,hot_water_com,hot_water_com_electricity,1569,15,0,0,0,0,0,0,0
36067,36067,36067,36067,heating_com,heating_com_natural_gas,2253,15,0,0,0,0,0,0,0
36067,36067,36067,36067,heating_com,heating_com_electricity,913,15,0,0,0,0,0,0,0
36071,36071,36071,36071,hot_water,hot_water_natural_gas,72639,13,0,0,0,0,0,0,0
36071,36071,36071,36071,hot_water,hot_water_electricity,38499,15,0,0,0,0,0,0,0
36071,36071,36071,36071,hvac,hvac_natural_gas,71913,15,0,0,0,0,0,0,0
36071,36071,36071,36071,hvac,hvac_heat_pump,15012,15,0,0,0,0,0,0,0
36071,36071,36071,36071,range_oven,range_oven_natural_gas,53511,21,0,0,0,0,0,0,0
36071,36071,36071,36071,range_oven,range_oven_electricity,59806,17,0,0,0,0,0,0,0
36071,36071,36071,36071,hot_water_com,hot_water_com_natural_gas,587,13,0,0,0,0,0,0,0
36071,36071,36071,36071,hot_water_com,hot_water_com_electricity,806,15,0,0,0,0,0,0,0
36071,36071,36071,36071,heating_com,heating_com_natural_gas,909,15,0,0,0,0,0,0,0
36071,36071,36071,36071,heating_com,heating_com_electricity,380,15,0,0,0,0,0,0,0
36017,36017,36017,36017,hot_water,hot_water_natural_gas,5327,13,0,0,0,0,0,0,0
36017,36017,36017,36017,hot_water,hot_water_electricity,10896,15,0,0,0,0,0,0,0
36017,36017,36017,36017,hvac,hvac_natural_gas,2421,15,0,0,0,0,0,0,0
36017,36017,36017,36017,hvac,hvac_heat_pump,4600,15,0,0,0,0,0,0,0
36017,36017,36017,36017,range_oven,range_oven_natural_gas,969,21,0,0,0,0,0,0,0
36017,36017,36017,36017,range_oven,range_oven_electricity,11138,17,0,0,0,0,0,0,0
36017,36017,36017,36017,hot_water_com,hot_water_com_natural_gas,13,13,0,0,0,0,0,0,0
