Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Natural gas CC,Low,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Natural gas CC,Mid,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Natural gas CC,High,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Natural gas CT,Low,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Natural gas CT,Mid,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Natural gas CT,High,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Natural gas CC-CCS,Low,67,63,59,59,59,59,59,58,58,57,57,57,56,56,55,55,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Natural gas CC-CCS,Mid,67,65,63,63,63,63,63,62,62,62,62,62,61,61,61,61,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Natural gas CC-CCS,High,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
Coal IGCC,Low,74,74,74,74,74,73,72,71,70,69,69,68,67,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
Coal IGCC,Mid,74,74,74,74,74,73,73,72,72,72,71,71,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Coal IGCC,High,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
Petroleum CT,Low,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Petroleum CT,Mid,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Petroleum CT,High,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Geothermal,Low,141,140,139,138,137,136,135,134,133,132,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
Geothermal,Mid,141,140,139,138,138,137,136,135,134,133,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
Geothermal,High,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
Geothermal EGS,Low,208,196,184,173,161,149,138,126,114,103,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Geothermal EGS,Mid,208,203,199,194,190,186,181,177,172,168,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
Geothermal EGS,High,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
Biopower,Low,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Biopower,Mid,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Biopower,High,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
Hydro,Low,119,119,119,119,119,119,119,119,119,119,113,113,113,113,113,113,113,113,113,113,103,103,103,103,103,103,103,103,103,103,103
Hydro,Mid,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,114,114,114,114,114,114,114,114,114,114,114
Hydro,High,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
Onshore wind,Low,43,42,41,40,40,39,38,37,36,35,34,34,33,33,32,32,31,31,30,30,29,29,28,28,27,27,26,26,25,25,24
Onshore wind,Mid,43,43,42,42,41,41,41,40,40,39,39,39,38,38,38,37,37,37,37,36,36,36,35,35,35,35,34,34,34,33,33
Onshore wind,High,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41
Offshore wind,Low,130,112,102,94,89,84,80,76,73,71,68,66,64,62,60,59,57,56,54,53,52,50,49,48,47,46,45,44,43,42,42
Offshore wind,Mid,130,112,102,94,89,84,80,76,73,71,68,66,64,62,60,59,57,56,54,53,52,50,49,48,47,46,45,44,43,42,42
Offshore wind,High,130,112,102,94,89,84,80,76,73,71,68,66,64,62,60,59,57,56,54,53,52,50,49,48,47,46,45,44,43,42,42
Solar,Low,23,21,20,19,18,17,16,16,15,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11
Solar,Mid,23,21,20,19,19,18,18,17,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,13
Solar,High,23,21,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,18,18,18,18,17,17,17,17,16,16,16,16,15,15
Nuclear,Low,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Nuclear,Mid,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Nuclear,High,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
Rondo heat,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondo heat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondo heat,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen heat,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen heat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
