NodeIn,NodeOut,Operator,MaxGas,Diameter,Distance,FrictionFactor,ExistingUnits,MaxNew,MaxCompression
34023,36059,Transcontinental Gas PL,50000,0.8,78626,0.01,1,0,2
25021,25025,Algonquin Gas Trans Co,50000,0.8,23436,0.01,1,0,2
25009,25025,Algonquin Gas Trans Co,50000,0.8,36510,0.01,1,0,2
25023,25009,Algonquin Gas Trans Co,50000,0.8,76171,0.01,1,0,2
25023,25025,Algonquin Gas Trans Co,50000,0.8,44607,0.01,1,0,2
25021,25023,Algonquin Gas Trans Co,50000,0.8,35289,0.01,1,0,2
25021,25009,Algonquin Gas Trans Co,50000,0.8,59666,0.01,1,0,2
36085,36047,Brooklyn Union Gas Co,50000,0.8,19491,0.01,1,0,2
34039,36085,Transcontinental Gas PL,50000,0.8,14955,0.01,1,0,2
36085,36047,Transcontinental Gas PL,50000,0.8,19491,0.01,1,0,2
34039,36047,Transcontinental Gas PL,50000,0.8,28263,0.01,1,0,2
42059,42125,Columbia Gas Trans Co,50000,0.8,38325,0.01,1,0,2
36005,36103,Iroquois Gas Trans Co,50000,0.8,80831,0.01,1,0,2
25017,25009,PNGTS/Maritimes & Northeast,50000,0.8,37815,0.01,1,0,2
36029,36063,Empire Pipeline,50000,0.8,48142,0.01,1,0,2
34039,36085,Texas Eastern Trans Co,50000,0.8,14955,0.01,1,0,2
36067,36053,Tennessee Gas Pipeline,50000,0.8,39717,0.01,1,0,2
36067,36075,Dominion Transmission Co,50000,0.8,45609,0.01,1,0,2
36067,36075,Empire Pipeline,50000,0.8,45609,0.01,1,0,2
36023,36067,Dominion Transmission Co,50000,0.8,47365,0.01,1,0,2
36011,36067,Dominion Transmission Co,50000,0.8,32472,0.01,1,0,2
36011,36067,Tennessee Gas Pipeline,50000,0.8,32472,0.01,1,0,2
36011,36067,Empire Pipeline,50000,0.8,32472,0.01,1,0,2
36071,36105,Columbia Gas Trans Co,50000,0.8,52726,0.01,1,0,2
36105,36071,Millennium Pipeline Co,50000,0.8,52726,0.01,1,0,2
42103,36071,Columbia Gas Trans Co,50000,0.8,60384,0.01,1,0,2
36071,42103,Millennium Pipeline Co,50000,0.8,60384,0.01,1,0,2
36071,36087,Columbia Gas Trans Co,50000,0.8,34175,0.01,1,0,2
36071,36087,Millennium Pipeline Co,50000,0.8,34175,0.01,1,0,2
25023,25001,Algonquin Gas Trans Co,50000,0.8,75708,0.01,1,0,2
25013,25015,Tennessee Gas Pipeline,50000,0.8,23050,0.01,1,0,2
09110,25013,Tennessee Gas Pipeline,50000,0.8,43006,0.01,1,0,2
25013,25027,Tennessee Gas Pipeline,50000,0.8,59292,0.01,1,0,2
25013,09160,Tennessee Gas Pipeline,50000,0.8,65178,0.01,1,0,2
25003,25013,Tennessee Gas Pipeline,50000,0.8,53181,0.01,1,0,2
34041,34019,Columbia Gas Trans Co,50000,0.8,31344,0.01,1,0,2
42095,34019,Columbia Gas Trans Co,50000,0.8,46148,0.01,1,0,2
42095,34041,Columbia Gas Trans Co,50000,0.8,38312,0.01,1,0,2
34041,34019,Transcontinental Gas PL,50000,0.8,31344,0.01,1,0,2
42095,34041,Transcontinental Gas PL,50000,0.8,38312,0.01,1,0,2
34005,34021,Transcontinental Gas PL,50000,0.8,46238,0.01,1,0,2
42101,34005,Transcontinental Gas PL,50000,0.8,41885,0.01,1,0,2
34007,34005,Transcontinental Gas PL,50000,0.8,27225,0.01,1,0,2
34007,42101,Transcontinental Gas PL,50000,0.8,25719,0.01,1,0,2
34035,34023,Texas Eastern Trans Co,50000,0.8,24220,0.01,1,0,2
34021,34023,Transcontinental Gas PL,50000,0.8,29051,0.01,1,0,2
34035,34023,Transcontinental Gas PL,50000,0.8,24220,0.01,1,0,2
34023,34027,Texas Eastern Trans Co,50000,0.8,50644,0.01,1,0,2
34023,34039,Texas Eastern Trans Co,50000,0.8,28365,0.01,1,0,2
34027,34039,Texas Eastern Trans Co,50000,0.8,33451,0.01,1,0,2
34023,34039,Transcontinental Gas PL,50000,0.8,28365,0.01,1,0,2
42045,34015,Transcontinental Gas PL,50000,0.8,32634,0.01,1,0,2
42029,42045,Columbia Gas Trans Co,50000,0.8,28821,0.01,1,0,2
42029,42045,Texas Eastern Trans Co,50000,0.8,28821,0.01,1,0,2
42029,42045,Transcontinental Gas PL,50000,0.8,28821,0.01,1,0,2
42045,42101,Texas Eastern Trans Co,50000,0.8,21748,0.01,1,0,2
42049,36013,National Fuel Gas Supply Co,50000,0.8,56856,0.01,1,0,2
42049,36013,National Fuel Gas Distr Co,50000,0.8,56856,0.01,1,0,2
42049,36013,Tennessee Gas Pipeline,50000,0.8,56856,0.01,1,0,2
42123,42049,National Fuel Gas Supply Co,50000,0.8,66935,0.01,1,0,2
42039,42049,National Fuel Gas Distr Co,50000,0.8,44039,0.01,1,0,2
42039,42049,Tennessee Gas Pipeline,50000,0.8,44039,0.01,1,0,2
42059,42051,Columbia Gas Trans Co,50000,0.8,48876,0.01,1,0,2
42059,42051,Texas Eastern Trans Co,50000,0.8,48876,0.01,1,0,2
42059,42125,Dominion Transmission Co,50000,0.8,38325,0.01,1,0,2
36053,36065,Dominion Transmission Co,50000,0.8,37738,0.01,1,0,2
36053,36065,Tennessee Gas Pipeline,50000,0.8,37738,0.01,1,0,2
36023,36053,Dominion Transmission Co,50000,0.8,47113,0.01,1,0,2
36065,36043,Tennessee Gas Pipeline,50000,0.8,51432,0.01,1,0,2
36077,36043,Tennessee Gas Pipeline,50000,0.8,94970,0.01,1,0,2
36065,36077,Tennessee Gas Pipeline,50000,0.8,81174,0.01,1,0,2
36051,36055,National Fuel Gas Distr Co,50000,0.8,47754,0.01,1,0,2
36051,36069,National Fuel Gas Distr Co,50000,0.8,41640,0.01,1,0,2
36051,36069,Tennessee Gas Pipeline,50000,0.8,41640,0.01,1,0,2
36121,36051,Dominion Transmission Co,50000,0.8,35201,0.01,1,0,2
36121,36051,National Fuel Gas Distr Co,50000,0.8,35201,0.01,1,0,2
36121,36051,Tennessee Gas Pipeline,50000,0.8,35201,0.01,1,0,2
36051,36037,Dominion Transmission Co,50000,0.8,44344,0.01,1,0,2
42133,42071,Columbia Gas Trans Co,50000,0.8,43597,0.01,1,0,2
42133,42071,Texas Eastern Trans Co,50000,0.8,43597,0.01,1,0,2
42133,42071,Transcontinental Gas PL,50000,0.8,43597,0.01,1,0,2
42071,42029,Columbia Gas Trans Co,50000,0.8,44789,0.01,1,0,2
42071,42029,Texas Eastern Trans Co,50000,0.8,44789,0.01,1,0,2
42071,42029,Transcontinental Gas PL,50000,0.8,44789,0.01,1,0,2
42099,42043,Texas Eastern Trans Co,50000,0.8,36626,0.01,1,0,2
42043,42075,Texas Eastern Trans Co,50000,0.8,32957,0.01,1,0,2
42055,42099,Texas Eastern Trans Co,50000,0.8,58103,0.01,1,0,2
42067,42099,Texas Eastern Trans Co,50000,0.8,21294,0.01,1,0,2
42067,42055,Texas Eastern Trans Co,50000,0.8,55596,0.01,1,0,2
42061,42067,Texas Eastern Trans Co,50000,0.8,47065,0.01,1,0,2
42027,42035,Columbia Gas Trans Co,50000,0.8,31583,0.01,1,0,2
42027,42035,Texas Eastern Trans Co,50000,0.8,31583,0.01,1,0,2
42061,42027,Texas Eastern Trans Co,50000,0.8,66529,0.01,1,0,2
42033,42027,Columbia Gas Trans Co,50000,0.8,53587,0.01,1,0,2
42035,42023,Columbia Gas Trans Co,50000,0.8,53545,0.01,1,0,2
42023,42035,Dominion Transmission Co,50000,0.8,53545,0.01,1,0,2
42035,42105,Dominion Transmission Co,50000,0.8,65610,0.01,1,0,2
42105,42035,National Fuel Gas Supply Co,50000,0.8,65610,0.01,1,0,2
42105,42035,Transcontinental Gas PL,50000,0.8,65610,0.01,1,0,2
42035,42081,Transcontinental Gas PL,50000,0.8,49253,0.01,1,0,2
42063,42033,Columbia Gas Trans Co,50000,0.8,66930,0.01,1,0,2
42129,42063,Columbia Gas Trans Co,50000,0.8,39631,0.01,1,0,2
42129,42063,Texas Eastern Trans Co,50000,0.8,39631,0.01,1,0,2
42005,42063,Dominion Transmission Co,50000,0.8,37792,0.01,1,0,2
42063,42065,Dominion Transmission Co,50000,0.8,56288,0.01,1,0,2
42063,42021,Texas Eastern Trans Co,50000,0.8,35030,0.01,1,0,2
42099,42041,Texas Eastern Trans Co,50000,0.8,30251,0.01,1,0,2
09170,09110,Tennessee Gas Pipeline,50000,0.8,52058,0.01,1,0,2
09140,09110,Tennessee Gas Pipeline,50000,0.8,56643,0.01,1,0,2
09110,09180,Algonquin Gas Trans Co,50000,0.8,47842,0.01,1,0,2
09110,09130,Algonquin Gas Trans Co,50000,0.8,37200,0.01,1,0,2
09140,09110,Algonquin Gas Trans Co,50000,0.8,56643,0.01,1,0,2
09140,09170,Algonquin Gas Trans Co,50000,0.8,25224,0.01,1,0,2
09170,09110,Algonquin Gas Trans Co,50000,0.8,52058,0.01,1,0,2
09110,09150,Algonquin Gas Trans Co,50000,0.8,47161,0.01,1,0,2
42051,42111,Columbia Gas Trans Co,50000,0.8,52961,0.01,1,0,2
42051,42111,Texas Eastern Trans Co,50000,0.8,52961,0.01,1,0,2
42051,42129,Texas Eastern Trans Co,50000,0.8,52822,0.01,1,0,2
42057,42055,Columbia Gas Trans Co,50000,0.8,33726,0.01,1,0,2
42009,42055,Columbia Gas Trans Co,50000,0.8,66183,0.01,1,0,2
42009,42057,Columbia Gas Trans Co,50000,0.8,34435,0.01,1,0,2
