NodeELEC,NodeGAS,GenID,PrimeMover,Fuel,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,isRenewable,HeatRate,isNGFueled,EmissionsFactor,StartupCost,EconomicLifetime,Lifetime,StartupFuel,InstallYear,ForcedRetirement
36067,36067,CS000,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36067,36067,CC000,Natural gas CC,Natural gas,0.32,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36067,36067,CT000,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
36067,36067,GT000,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36067,36067,BP000,Biopower,Biomass,0.4,100,100,500,0,0.84,1,1,1,1,1,14.5,0,0,0,45,45,0,0,0
36067,36067,NC000,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
36067,36067,HD000,Hydro,Hydro,0.03,100,0,500,0,1,1,1,1,1,1,0,0,0,0,100,100,0,0,0
36067,36067,WD000,Onshore wind,Wind,0,100,5,8,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36067,36067,SL000,Solar,Solar,0.98,50,10,230,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36071,36071,CS001,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36071,36071,CC001,Natural gas CC,Natural gas,3.63,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36071,36071,CT001,Natural gas CT,Natural gas,0.42,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
36071,36071,GT001,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36071,36071,NC001,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
36071,36071,HD001,Hydro,Hydro,0.02,100,0,500,0,1,1,1,1,1,1,0,0,0,0,100,100,0,0,0
36071,36071,WD001,Onshore wind,Wind,0,100,4,4,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36071,36071,SL001,Solar,Solar,1.92,50,10,239,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36017,36017,CS002,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36017,36017,CC002,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36017,36017,CT002,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
36017,36017,GT002,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36017,36017,NC002,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
36017,36017,WD002,Onshore wind,Wind,0,100,5,43,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36017,36017,SL002,Solar,Solar,0.67,50,10,441,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
25001,25001,CS003,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
25001,25001,CC003,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
25001,25001,CT003,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
