NodeGAS,WithdrawalRate,Source
09170,1282.0,LNG truck
09180,85.48,LNG truck
25001,322.4,LNG truck
25005,1465.0,LNG truck
25009,3456.0,LNG truck
25011,36.63,LNG truck
25013,219.8,LNG truck
25017,976.9,LNG truck
25023,838.9,LNG truck
25025,2286.0,LNG truck
25027,85.48,LNG truck
34005,1114.0,LNG truck
34029,293.1,LNG truck
42043,793.7,LNG truck
42077,879.2,LNG truck
42095,879.2,LNG truck
42101,549.5,LNG truck
44003,232.0,LNG truck
44009,232.0,LNG truck
42019,6765.0,NG processing plant
42047,73.27,NG processing plant
42083,232.0,NG processing plant
42123,256.4,NG processing plant
42125,6350.0,NG processing plant
