NodeELEC,NodeGAS,P2GID,PrimeMover,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,ETA,P2LETA,EconomicLifetime,Lifetime,isBiomethane,isBiomass,InstallYear,ForcedRetirement,MoleFrac_CH4,MoleFrac_H2
36067,36067,BM000,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
36067,36067,EL000,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
36067,36067,MT000,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
36071,36071,BM001,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
36071,36071,EL001,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
36071,36071,MT001,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
36017,36017,BM002,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
36017,36017,EL002,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
36017,36017,MT002,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
25001,25001,BM003,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
25001,25001,EL003,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
25001,25001,MT003,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
25013,25013,BM004,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
25013,25013,EL004,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
25013,25013,MT004,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
34011,34011,BM005,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
34011,34011,EL005,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
34011,34011,MT005,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
34041,34041,BM006,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
34041,34041,EL006,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
34041,34041,MT006,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
34005,34005,BM007,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
34005,34005,EL007,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
34005,34005,MT007,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
34023,34023,BM008,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
34023,34023,EL008,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
34023,34023,MT008,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
42045,42045,BM009,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42045,42045,EL009,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42045,42045,MT009,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
42049,42049,BM010,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42049,42049,EL010,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42049,42049,MT010,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
42059,42059,BM011,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42059,42059,EL011,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42059,42059,MT011,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
25015,25015,BM012,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
25015,25015,EL012,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
25015,25015,MT012,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
36053,36053,BM013,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
36053,36053,EL013,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
36053,36053,MT013,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
