NodeELEC,NodeGAS,P2HID,PrimeMover,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,ETA,EconomicLifetime,Lifetime,InstallYear,ForcedRetirement
36067,36067,EB000,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
36071,36071,EB001,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
36017,36017,EB002,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
25001,25001,EB003,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
25013,25013,EB004,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
34011,34011,EB005,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
34041,34041,EB006,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
34005,34005,EB007,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
34023,34023,EB008,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42045,42045,EB009,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42049,42049,EB010,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42059,42059,EB011,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
25015,25015,EB012,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
36053,36053,EB013,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
36077,36077,EB014,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
36051,36051,EB015,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42071,42071,EB016,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42043,42043,EB017,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42067,42067,EB018,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42027,42027,EB019,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42035,42035,EB020,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42063,42063,EB021,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42099,42099,EB022,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
09110,09110,EB023,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42051,42051,EB024,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
42055,42055,EB025,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
44007,44007,EB026,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
36025,36025,EB027,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
36061,36061,EB028,Electric boiler,0,100,3,15,0,1,1,1,24,24,0.99,20,20,2060,2060
