NodeELEC,NodeGAS,StorageID,PrimeMover,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Duration,ChargeETA,DischargeETA,LossETA,EconomicLifetime,Lifetime,InstallYear,ForcedRetirement
36067,36067,LI000,Li-ion battery,1,1.0,0,0,1.0,0.92,0.92,1.3889e-05,15,15,2060,2060
36067,36067,LI000,Li-ion battery,1,10.0,0,0,4.0,0.92,0.92,1.3889e-05,15,15,2060,2060
36067,36067,LI000,Li-ion battery,0,10,100,500,4,0.92,0.92,1.3889e-05,15,15,2060,2060
36067,36067,LD000,Long-duration storage,0,50,4,20,720,0.63,0.53,1.1e-08,30,30,2060,2060
36067,36067,MD000,Multi-day storage,0,5,100,500,100,0.65,0.65,1.3889e-05,15,15,2060,2060
36071,36071,LI001,Li-ion battery,1,3.0,0,0,1.0,0.92,0.92,1.3889e-05,15,15,2060,2060
36071,36071,LI001,Li-ion battery,1,10.0,0,0,2.0,0.92,0.92,1.3889e-05,15,15,2060,2060
36071,36071,LI001,Li-ion battery,1,8.1,0,0,4.0,0.92,0.92,1.3889e-05,15,15,2060,2060
36071,36071,LI001,Li-ion battery,0,10,100,500,4,0.92,0.92,1.3889e-05,15,15,2060,2060
36071,36071,LD001,Long-duration storage,0,50,4,20,720,0.63,0.53,1.1e-08,30,30,2060,2060
36071,36071,MD001,Multi-day storage,0,5,100,500,100,0.65,0.65,1.3889e-05,15,15,2060,2060
36017,36017,LI002,Li-ion battery,1,5.0,0,0,3.0,0.92,0.92,1.3889e-05,15,15,2060,2060
36017,36017,LI002,Li-ion battery,0,10,100,500,4,0.92,0.92,1.3889e-05,15,15,2060,2060
36017,36017,LD002,Long-duration storage,0,50,4,20,720,0.63,0.53,1.1e-08,30,30,2060,2060
36017,36017,MD002,Multi-day storage,0,5,100,500,100,0.65,0.65,1.3889e-05,15,15,2060,2060
25001,25001,LI003,Li-ion battery,1,29.4,0,0,2.0,0.92,0.92,1.3889e-05,15,15,2060,2060
25001,25001,LI003,Li-ion battery,1,1.5,0,0,21.0,0.92,0.92,1.3889e-05,15,15,2060,2060
25001,25001,LI003,Li-ion battery,0,10,100,500,4,0.92,0.92,1.3889e-05,15,15,2060,2060
25001,25001,LD003,Long-duration storage,0,50,4,20,720,0.63,0.53,1.1e-08,30,30,2060,2060
25001,25001,MD003,Multi-day storage,0,5,100,500,100,0.65,0.65,1.3889e-05,15,15,2060,2060
25013,25013,LI004,Li-ion battery,1,5.0,0,0,1.0,0.92,0.92,1.3889e-05,15,15,2060,2060
25013,25013,LI004,Li-ion battery,1,11.8,0,0,2.0,0.92,0.92,1.3889e-05,15,15,2060,2060
25013,25013,LI004,Li-ion battery,1,0.7,0,0,4.0,0.92,0.92,1.3889e-05,15,15,2060,2060
25013,25013,LI004,Li-ion battery,0,10,100,500,4,0.92,0.92,1.3889e-05,15,15,2060,2060
25013,25013,LD004,Long-duration storage,0,50,4,20,720,0.63,0.53,1.1e-08,30,30,2060,2060
25013,25013,MD004,Multi-day storage,0,5,100,500,100,0.65,0.65,1.3889e-05,15,15,2060,2060
34011,34011,LI005,Li-ion battery,0,10,100,500,4,0.92,0.92,1.3889e-05,15,15,2060,2060
34011,34011,LD005,Long-duration storage,0,50,4,20,720,0.63,0.53,1.1e-08,30,30,2060,2060
34011,34011,MD005,Multi-day storage,0,5,100,500,100,0.65,0.65,1.3889e-05,15,15,2060,2060
34041,34041,LI006,Li-ion battery,1,19.8,0,0,1.0,0.92,0.92,1.3889e-05,15,15,2060,2060
34041,34041,LI006,Li-ion battery,0,10,100,500,4,0.92,0.92,1.3889e-05,15,15,2060,2060
34041,34041,LD006,Long-duration storage,0,50,4,20,720,0.63,0.53,1.1e-08,30,30,2060,2060
34041,34041,MD006,Multi-day storage,0,5,100,500,100,0.65,0.65,1.3889e-05,15,15,2060,2060
34041,34041,PH006,Pumped hydro storage,1,453.0,0,0,8.0,0.9,0.9,1.3889e-05,50,50,2060,2060
34005,34005,LI007,Li-ion battery,0,10,100,500,4,0.92,0.92,1.3889e-05,15,15,2060,2060
34005,34005,LD007,Long-duration storage,0,50,4,20,720,0.63,0.53,1.1e-08,30,30,2060,2060
