NodeELEC,NodeGAS,StorageID,PrimeMover,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Duration,ChargeETA,DischargeETA,LossETA,EconomicLifetime,Lifetime,InstallYear,ForcedRetirement,MoleFrac_CH4,MoleFrac_H2,InitialStorage
25013,25013,LG004,LNG peak shaving,1,586.1,0,0,489.0,0.85,0.98,0,40,40,2060,2060,1,0,229100.0
42049,42049,UG010,Underground gas storage,1,1000.0,0,0,508.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,422000.0
42059,42059,UG011,Underground gas storage,1,1700.0,0,0,1419.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1969000.0
42035,42035,UG020,Underground gas storage,1,15000.0,0,0,1200.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,14350000.0
42063,42063,UG021,Underground gas storage,1,150.0,0,0,800.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,93780.0
09110,09110,LG023,LNG peak shaving,1,1404.0,0,0,245.0,0.85,0.98,0,40,40,2060,2060,1,0,275000.0
42051,42051,UG024,Underground gas storage,1,3700.0,0,0,920.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,2696000.0
44007,44007,LG026,LNG peak shaving,1,1832.0,0,0,324.0,0.85,0.98,0,40,40,2060,2060,1,0,474100.0
36009,36009,UG031,Underground gas storage,1,1200.0,0,0,953.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,902700.0
42031,42031,UG043,Underground gas storage,1,450.0,0,0,1060.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,383100.0
25017,25017,LG045,LNG peak shaving,1,2931.0,0,0,293.0,0.85,0.98,0,40,40,2060,2060,1,0,687400.0
25027,25027,LG046,LNG peak shaving,1,2931.0,0,0,293.0,0.85,0.98,0,40,40,2060,2060,1,0,687400.0
36013,36013,UG049,Underground gas storage,1,1600.0,0,0,894.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1179000.0
36047,36047,LG055,LNG peak shaving,1,3663.0,0,0,125.0,0.85,0.98,0,40,40,2060,2060,1,0,367400.0
42091,42091,LG058,LNG peak shaving,1,4640.0,0,0,74.0,0.85,0.98,0,40,40,2060,2060,1,0,275000.0
42101,42101,LG064,LNG peak shaving,1,6106.0,0,0,189.0,0.85,0.98,0,40,40,2060,2060,1,0,921200.0
36081,36081,LG066,LNG peak shaving,1,2931.0,0,0,98.0,0.85,0.98,0,40,40,2060,2060,1,0,229100.0
42125,42125,UG068,Underground gas storage,1,3100.0,0,0,623.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1568000.0
34001,34001,LG069,LNG peak shaving,1,1343.0,0,0,86.0,0.85,0.98,0,40,40,2060,2060,1,0,92290.0
36103,36103,LG071,LNG peak shaving,1,1221.0,0,0,142.0,0.85,0.98,0,40,40,2060,2060,1,0,138300.0
42129,42129,UG089,Underground gas storage,1,18000.0,0,0,1384.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,19600000.0
09140,09140,LG091,LNG peak shaving,1,1465.0,0,0,235.0,0.85,0.98,0,40,40,2060,2060,1,0,275000.0
36029,36029,UG094,Underground gas storage,1,11000.0,0,0,1375.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,12280000.0
42003,42003,UG097,Underground gas storage,1,2900.0,0,0,546.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1280000.0
42005,42005,UG098,Underground gas storage,1,2400.0,0,0,697.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1362000.0
36097,36097,UG104,Underground gas storage,1,2500.0,0,0,717.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1453000.0
34029,34029,LG114,LNG peak shaving,1,1832.0,0,0,126.0,0.85,0.98,0,40,40,2060,2060,1,0,184900.0
34025,34025,LG115,LNG peak shaving,1,1832.0,0,0,126.0,0.85,0.98,0,40,40,2060,2060,1,0,184900.0
34039,34039,LG117,LNG peak shaving,1,366.3,0,0,121.0,0.85,0.98,0,40,40,2060,2060,1,0,35560.0
36003,36003,UG119,Underground gas storage,1,1900.0,0,0,2966.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,4548000.0
42009,42009,UG121,Underground gas storage,1,7200.0,0,0,895.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,5180000.0
42083,42083,UG124,Underground gas storage,1,4800.0,0,0,433.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1676000.0
42123,42123,UG126,Underground gas storage,1,670.0,0,0,1964.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1055000.0
36069,36069,UG128,Underground gas storage,1,850.0,0,0,2321.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,1587000.0
36107,36107,UG133,Underground gas storage,1,6100.0,0,0,1082.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,5287000.0
42117,42117,UG135,Underground gas storage,1,13000.0,0,0,1018.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,10760000.0
36101,36101,UG137,Underground gas storage,1,4900.0,0,0,206.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,805800.0
42105,42105,UG139,Underground gas storage,1,41000.0,0,0,1002.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,33010000.0
42011,42011,LG140,LNG peak shaving,1,2467.0,0,0,162.0,0.85,0.98,0,40,40,2060,2060,1,0,319100.0
36121,36121,UG146,Underground gas storage,1,920.0,0,0,574.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,422000.0
42065,42065,UG147,Underground gas storage,1,590.0,0,0,1028.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,481800.0
42047,42047,UG148,Underground gas storage,1,350.0,0,0,1614.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,457200.0
42007,42007,UG151,Underground gas storage,1,120.0,0,0,2251.0,0.96,0.995,1.14e-08,60,60,2060,2060,1,0,219900.0
