NodeELEC,NodeGAS,StorageID,PrimeMover,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,ChargeRate,DischargeRate,ChargeETA,DischargeETA,LossETA,EconomicLifetime,Lifetime,InstallYear,ForcedRetirement
36067,36067,RH000,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36067,36067,HH000,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36071,36071,RH001,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36071,36071,HH001,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36017,36017,RH002,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36017,36017,HH002,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
25001,25001,RH003,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
25001,25001,HH003,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
25013,25013,RH004,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
25013,25013,HH004,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34011,34011,RH005,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
34011,34011,HH005,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34041,34041,RH006,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
34041,34041,HH006,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34005,34005,RH007,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
34005,34005,HH007,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34023,34023,RH008,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
34023,34023,HH008,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42045,42045,RH009,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42045,42045,HH009,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42049,42049,RH010,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42049,42049,HH010,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42059,42059,RH011,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42059,42059,HH011,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
25015,25015,RH012,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
25015,25015,HH012,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36053,36053,RH013,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36053,36053,HH013,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36077,36077,RH014,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36077,36077,HH014,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36051,36051,RH015,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36051,36051,HH015,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42071,42071,RH016,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42071,42071,HH016,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42043,42043,RH017,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42043,42043,HH017,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42067,42067,RH018,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42067,42067,HH018,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42027,42027,RH019,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42027,42027,HH019,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42035,42035,RH020,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42035,42035,HH020,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42063,42063,RH021,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42063,42063,HH021,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42099,42099,RH022,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42099,42099,HH022,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
9110,9110,RH023,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
9110,9110,HH023,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42051,42051,RH024,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42051,42051,HH024,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
42055,42055,RH025,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
42055,42055,HH025,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
44007,44007,RH026,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
44007,44007,HH026,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36025,36025,RH027,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36025,36025,HH027,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36061,36061,RH028,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36061,36061,HH028,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36065,36065,RH029,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36065,36065,HH029,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36115,36115,RH030,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36115,36115,HH030,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36009,36009,RH031,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36009,36009,HH031,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
25025,25025,RH032,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
25025,25025,HH032,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
25005,25005,RH033,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
25005,25005,HH033,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34009,34009,RH034,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
34009,34009,HH034,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34015,34015,RH035,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
34015,34015,HH035,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34003,34003,RH036,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
34003,34003,HH036,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34019,34019,RH037,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
34019,34019,HH037,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36045,36045,RH038,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36045,36045,HH038,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36019,36019,RH039,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36019,36019,HH039,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
36031,36031,RH040,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
36031,36031,HH040,Hydrogen heat,0,300,100,500,1,1,0.65,0.9,1.00E-05,30,30,2060,2060
34027,34027,RH041,Rondo heat,0,300,100,500,70,20,0.99,0.99,0.0833,30,30,2060,2060
